사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,,
2013097,2012,보행어린이,27290006,대구광역시 달서구6,대구광역시 달서구 월성동(제이와이아이엔씨 부근),4,4,0,1,3,0,35.82953637,128.526838,,
2013097,2012,보행어린이,27290007,대구광역시 달서구7,대구광역시 달서구 이곡동(성서동서서한아파트 부근),4,4,0,1,3,0,35.85801548,128.5032349,,
2013097,2012,보행어린이,27290008,대구광역시 달서구8,대구광역시 달서구 상인동(꼬꼬마놀이방 부근),4,4,0,3,1,0,35.81094001,128.5368262,,
2013097,2012,보행어린이,27710001,대구광역시 달성군1,대구광역시 달성군 논공읍(대신빌딩 부근),4,4,0,1,3,0,35.72930354,128.4452119,,
2013097,2012,보행어린이,28170001,인천광역시 남구1,인천광역시 남구 주안동(태광빌라 부근),3,3,0,1,1,1,37.45317949,126.695052,,
2013097,2012,보행어린이,28185001,인천광역시 연수구1,인천광역시 연수구 송도동(극동엔지니어링(주) 부근),4,4,0,3,1,0,37.39511454,126.650604,,
2013097,2012,보행어린이,28200001,인천광역시 남동구1,인천광역시 남동구 만수동(햇빛소비자유통 부근),4,4,1,1,2,0,37.4634791,126.7240847,,
2013097,2012,보행어린이,28245001,인천광역시 계양구1,인천광역시 계양구 임학동(임학DC마트 부근),3,4,0,0,4,0,37.54623139,126.7374264,,
2013097,2012,보행어린이,28260001,인천광역시 서구1,인천광역시 서구 심곡동(금성빌딩 부근),3,3,0,1,2,0,37.54416679,126.681444,,
2013097,2012,보행어린이,29140001,광주광역시 서구1,광주광역시 서구 금호동(금호중학교 부근),3,3,0,0,2,1,35.14005387,126.8601514,,
2013097,2012,보행어린이,29140002,광주광역시 서구2,광주광역시 서구 쌍촌동(518기념공원앞 부근),3,3,0,0,3,0,35.15884662,126.8569848,,
2013097,2012,보행어린이,29140003,광주광역시 서구3,광주광역시 서구 풍암동(마르니 부근),3,3,0,0,3,0,35.12647459,126.882834,,
2013097,2012,보행어린이,29140004,광주광역시 서구4,광주광역시 서구 동천동(죽림지하차도종료 인근),3,3,0,1,2,0,35.17056017,126.8603084,,
2013097,2012,보행어린이,29140005,광주광역시 서구5,광주광역시 서구 화정동(화정남초등학교 부근),3,3,0,1,2,0,35.13812831,126.8730095,,
2013097,2012,보행어린이,29140006,광주광역시 서구6,광주광역시 서구 쌍촌동(상무주공아파트앞 부근),3,3,0,2,1,0,35.1612378,126.8632905,,
2013097,2012,보행어린이,29140007,광주광역시 서구7,광주광역시 서구 금호동(텃밭 부근),4,4,0,1,3,0,35.13070694,126.8550619,,
2013097,2012,보행어린이,29140008,광주광역시 서구8,광주광역시 서구 치평동(원할머니보쌈 부근),4,4,0,2,2,0,35.15257292,126.8475329,,
2013097,2012,보행어린이,29170001,광주광역시 북구1,광주광역시 북구 중흥동(소등초등학교앞 부근),3,3,0,2,1,0,35.16883677,126.9118556,,
2013097,2012,보행어린이,29170002,광주광역시 북구2,광주광역시 북구 문흥동(옆구리터진김밥 부근),4,4,0,1,2,1,35.18589912,126.9199679,,
2013097,2012,보행어린이,29170003,광주광역시 북구3,광주광역시 북구 두암동(청아맨션앞교차로 부근),4,6,0,1,5,0,35.1725314,126.932582,,
2013097,2012,보행어린이,29200001,광주광역시 광산구1,광주광역시 광산구 월계동(ASK 부근),3,3,0,0,3,0,35.21468724,126.8425929,,
2013097,2012,보행어린이,29200002,광주광역시 광산구2,광주광역시 광산구 신창동(신창3차호반베르디움 부근),5,6,0,0,6,0,35.19862967,126.8401491,,
2013097,2012,보행어린이,30170001,대전광역시 서구1,대전광역시 서구 괴정동(새한BC 부근),3,3,0,2,1,0,36.33972386,127.3847642,,
2013097,2012,보행어린이,30170002,대전광역시 서구2,대전광역시 서구 둔산동(김가네분식 부근),5,5,0,4,1,0,36.35191643,127.3896656,,
2013097,2012,보행어린이,30200001,대전광역시 유성구1,대전광역시 유성구 장대동(장대2교 부근),3,3,0,0,3,0,36.36118935,127.3386935,,
2013097,2012,보행어린이,31110001,울산광역시 중구1,울산광역시 중구 동동(서동경노당 부근),3,3,0,0,3,0,35.57411512,129.3441744,,
2013097,2012,보행어린이,31170001,울산광역시 동구1,울산광역시 동구 방어동(상가 부근),3,3,0,0,3,0,35.48374789,129.414566,,
2013097,2012,보행어린이,41111001,경기도 수원시 장안구1,경기도 수원시 장안구 조원동(이천산업 부근),3,3,0,1,1,1,37.30144243,127.0149197,,
2013097,2012,보행어린이,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 태평동(삼성로얄빌라 부근),3,3,0,1,2,0,37.44346655,127.1325953,,
2013097,2012,보행어린이,41131002,경기도 성남시 수정구2,경기도 성남시 수정구 신흥동(보건소삼거리 부근),3,3,0,2,1,0,37.45097278,127.1508564,,
